customer_id,date_of_birth,current_address,number_of_dependents,annual_income,employment_status,time_at_current_job_months,marital_status,education_level,time_at_current_address_months,account_id,account_type,credit_limit,current_balance,date_opened,date_closed,payment_history_status,total_payments_made,months_since_last_delinquency,is_defaulted,bureau_score_at_opening,bankruptcies,public_records
14633273,1990-12-23,"720 Vazquez Mountain Apt. 918
West Wayne, MI 77343",2,49638.96,Employed,216,Single,Master,30,8122156.0,Personal Loan,14892.08,7307.93,2020-01-08,2025-07-02,30-60 Days Late,188.0,56.0,False,593.0,2.0,1.0
14633273,1990-12-23,"720 Vazquez Mountain Apt. 918
West Wayne, MI 77343",2,49638.96,Employed,216,Single,Master,30,1519287.0,Credit Card,15588.13,7307.93,2020-12-19,2025-09-16,On Time,218.0,59.0,False,719.0,2.0,0.0
13182764,1985-09-04,"90731 Misty Stream Apt. 102
Christopherbury, NV 72087",3,83954.06,Unemployed,212,Single,Master,53,9134947.0,Personal Loan,20975.7,7425.07,2018-08-19,2022-08-04,60-90 Days Late,94.0,57.0,False,331.0,1.0,1.0
13182764,1985-09-04,"90731 Misty Stream Apt. 102
Christopherbury, NV 72087",3,83954.06,Unemployed,212,Single,Master,53,5996238.0,Personal Loan,16764.7,7425.01,2021-04-17,2023-07-01,60-90 Days Late,229.0,56.0,False,419.0,1.0,1.0
13866982,1984-07-22,"9987 Michael Port Apt. 824
Danielleborough, WY 20449",1,36423.69,Unemployed,10,Divorced,High School,160,,,,,,,,,,,,,
8930420,1979-02-07,"18803 Jones Fall Suite 144
East Stevenshire, OH 18573",1,40554.6,Unemployed,73,Divorced,Master,142,8355960.0,Mortgage,17583.07,3750.73,2022-08-31,2024-10-07,On Time,240.0,35.0,True,580.0,2.0,0.0
8845660,2006-04-25,"6094 Joseph Forest Apt. 616
North Karen, OK 22049",3,62499.0,Unemployed,86,Divorced,Master,141,12437609.0,Personal Loan,6189.38,4804.15,2016-11-28,,60-90 Days Late,227.0,25.0,False,653.0,1.0,0.0
4373876,2007-05-11,"7234 Molina Hills
North Andrea, VI 25758",3,22446.92,Unemployed,180,Single,PhD,20,13945477.0,Credit Card,21617.27,2801.07,2023-09-21,,On Time,36.0,3.0,True,593.0,2.0,0.0
4373876,2007-05-11,"7234 Molina Hills
North Andrea, VI 25758",3,22446.92,Unemployed,180,Single,PhD,20,13376225.0,Credit Card,18814.81,2801.08,2018-05-04,2025-09-16,On Time,43.0,8.0,True,620.0,2.0,0.0
4373876,2007-05-11,"7234 Molina Hills
North Andrea, VI 25758",3,22446.92,Unemployed,180,Single,PhD,20,5299890.0,Personal Loan,16314.08,2801.07,2017-05-09,2025-09-16,On Time,35.0,3.0,False,594.0,2.0,0.0
5441167,1981-05-23,"PSC 1953, Box 9681
APO AP 22328",0,52275.04,Employed,38,Married,PhD,17,2719164.0,Credit Card,13922.77,727.04,2022-10-09,2024-03-12,60-90 Days Late,79.0,35.0,True,601.0,1.0,0.0
5441167,1981-05-23,"PSC 1953, Box 9681
APO AP 22328",0,52275.04,Employed,38,Married,PhD,17,9410853.0,Credit Card,9863.26,727.06,2022-03-29,2024-01-25,60-90 Days Late,109.0,14.0,True,491.0,1.0,0.0
5268443,1987-08-05,"892 Hayes Streets Suite 998
Wyattland, AL 22983",2,60023.87,Self-Employed,78,Single,Master,121,144230.0,Mortgage,15327.51,3619.19,2017-02-23,2025-09-16,60-90 Days Late,165.0,13.0,False,532.0,0.0,0.0
5268443,1987-08-05,"892 Hayes Streets Suite 998
Wyattland, AL 22983",2,60023.87,Self-Employed,78,Single,Master,121,14542406.0,Mortgage,22846.34,3619.19,2017-02-10,,60-90 Days Late,159.0,34.0,False,764.0,0.0,0.0
6586643,1966-08-08,"637 Jackson Crest Suite 172
Carolineton, NH 82637",2,48938.54,Unemployed,24,Married,PhD,104,14123480.0,Mortgage,12597.07,3960.2,2018-06-12,2022-10-24,60-90 Days Late,200.0,47.0,False,515.0,2.0,0.0
11377900,1996-08-07,"74129 Kristen Views
Whiteton, NV 68560",1,72787.84,Employed,116,Divorced,High School,142,,,,,,,,,,,,,
3124586,1994-07-21,"0389 Andrew Inlet Suite 472
East Mark, WY 63195",0,34250.45,Unemployed,210,Single,Bachelor,16,18336.0,Mortgage,15813.89,6620.21,2020-03-06,2023-04-04,On Time,283.0,19.0,True,454.0,2.0,0.0
1986143,1958-02-11,"Unit 5939 Box 3675
DPO AA 51102",4,51021.42,Unemployed,116,Single,Master,19,848609.0,Personal Loan,12556.12,2848.84,2025-09-13,2024-03-21,60-90 Days Late,99.0,30.0,False,707.0,1.0,1.0
6000337,1957-07-29,"26737 James Course
East Douglas, RI 63707",3,57833.21,Unemployed,90,Divorced,Bachelor,88,14895882.0,Personal Loan,15232.97,3200.78,2023-02-09,,30-60 Days Late,286.0,59.0,False,762.0,1.0,1.0
6000337,1957-07-29,"26737 James Course
East Douglas, RI 63707",3,57833.21,Unemployed,90,Divorced,Bachelor,88,14879546.0,Personal Loan,14807.35,3200.78,2024-09-22,2023-06-06,30-60 Days Late,271.0,54.0,False,635.0,1.0,1.0
15277755,2007-07-27,"9077 Laura Loop Apt. 944
North Annaside, AS 18174",3,36170.89,Self-Employed,211,Single,Bachelor,174,4821973.0,Auto Loan,12316.51,1882.7,2020-08-09,2022-11-03,60-90 Days Late,204.0,50.0,True,562.0,2.0,1.0
15277755,2007-07-27,"9077 Laura Loop Apt. 944
North Annaside, AS 18174",3,36170.89,Self-Employed,211,Single,Bachelor,174,14044143.0,Auto Loan,20093.97,1882.78,2020-12-28,2023-02-06,60-90 Days Late,174.0,59.0,True,573.0,1.0,1.0
15277755,2007-07-27,"9077 Laura Loop Apt. 944
North Annaside, AS 18174",3,36170.89,Self-Employed,211,Single,Bachelor,174,11809256.0,Auto Loan,20625.48,1882.98,2020-06-06,,60-90 Days Late,186.0,59.0,True,549.0,1.0,1.0
15277755,2007-07-27,"9077 Laura Loop Apt. 944
North Annaside, AS 18174",3,36170.89,Self-Employed,211,Single,Bachelor,174,16425396.0,Auto Loan,9015.53,1882.58,2021-08-25,2021-12-07,60-90 Days Late,170.0,47.0,False,483.0,1.0,1.0
16722218,1996-03-15,"507 Michael Valleys
Donaldstad, WI 21120",1,55560.06,Self-Employed,65,Married,Bachelor,125,5162306.0,Mortgage,8033.08,3651.07,2021-02-09,2022-03-14,60-90 Days Late,172.0,26.0,True,609.0,1.0,1.0
4855855,1965-10-25,"2844 Christopher Extension
Singletonstad, NC 27463",0,42644.46,Employed,178,Married,PhD,162,,,,,,,,,,,,,
1553124,1994-10-27,"PSC 9267, Box 5940
APO AE 41996",0,65205.54,Employed,69,Married,Master,34,5465407.0,Personal Loan,14487.66,4233.46,2025-09-13,2024-03-10,30-60 Days Late,67.0,28.0,False,562.0,1.0,0.0
1553124,1994-10-27,"PSC 9267, Box 5940
APO AE 41996",0,65205.54,Employed,69,Married,Master,34,3374704.0,Personal Loan,16969.14,4233.5,2021-02-11,,60-90 Days Late,157.0,32.0,False,442.0,1.0,0.0
13851346,1975-08-10,"8204 Karen Cove Apt. 896
Coreyshire, MI 45068",1,46934.26,Employed,72,Married,Bachelor,126,16437903.0,Credit Card,18753.61,3610.87,2018-09-24,2024-01-03,30-60 Days Late,197.0,22.0,True,689.0,2.0,0.0
4627635,1979-02-02,"47552 Justin Plains
New Joseside, KY 34848",4,67680.22,Unemployed,135,Divorced,Master,154,1668606.0,Credit Card,16263.05,5587.53,2020-09-13,,30-60 Days Late,82.0,34.0,False,682.0,1.0,0.0
4627635,1979-02-02,"47552 Justin Plains
New Joseside, KY 34848",4,67680.22,Unemployed,135,Divorced,Master,154,5069524.0,Credit Card,15808.84,5587.53,2020-04-08,2023-05-26,60-90 Days Late,95.0,23.0,False,685.0,1.0,1.0
4627635,1979-02-02,"47552 Justin Plains
New Joseside, KY 34848",4,67680.22,Unemployed,135,Divorced,Master,154,6905401.0,Personal Loan,15567.9,5587.53,2020-04-15,2023-06-11,30-60 Days Late,72.0,29.0,False,729.0,1.0,1.0
6915383,1967-12-08,"1268 Rebecca Divide
Lake Jenniferton, TN 46673",2,54691.63,Unemployed,80,Married,PhD,145,2832717.0,Personal Loan,15147.56,2676.86,2020-11-07,,On Time,86.0,31.0,True,644.0,1.0,0.0
6915383,1967-12-08,"1268 Rebecca Divide
Lake Jenniferton, TN 46673",2,54691.63,Unemployed,80,Married,PhD,145,15174928.0,Personal Loan,13842.43,2676.81,2020-07-19,2023-05-07,On Time,94.0,19.0,True,681.0,0.0,0.0
4514681,1972-09-01,"53170 Green Vista
Harringtonstad, DE 35999",0,28651.38,Unemployed,111,Married,Master,64,15617294.0,Mortgage,12802.22,1207.77,2020-11-02,,On Time,258.0,30.0,True,787.0,1.0,0.0
4514681,1972-09-01,"53170 Green Vista
Harringtonstad, DE 35999",0,28651.38,Unemployed,111,Married,Master,64,244091.0,Mortgage,13199.87,1207.78,2021-02-03,,On Time,249.0,36.0,True,849.0,1.0,1.0
12173211,1972-10-23,"09910 Richard Ridges
New Jamesstad, NY 92211",1,55286.37,Unemployed,166,Single,High School,161,10789785.0,Personal Loan,14224.47,601.91,2020-03-30,2023-10-30,On Time,172.0,2.0,True,649.0,2.0,0.0
13145851,1999-10-01,"89160 Mayo Knolls Suite 983
Michaelfort, IN 98742",4,62194.83,Employed,26,Married,Bachelor,176,12696007.0,Mortgage,22512.85,2929.11,2024-02-13,,On Time,268.0,10.0,False,652.0,1.0,0.0
13145851,1999-10-01,"89160 Mayo Knolls Suite 983
Michaelfort, IN 98742",4,62194.83,Employed,26,Married,Bachelor,176,3054151.0,Personal Loan,18356.71,2929.0,2022-12-14,2025-09-16,30-60 Days Late,269.0,20.0,False,724.0,1.0,0.0
13145851,1999-10-01,"89160 Mayo Knolls Suite 983
Michaelfort, IN 98742",4,62194.83,Employed,26,Married,Bachelor,176,15178574.0,Personal Loan,16398.2,2929.11,2022-10-04,2025-09-16,On Time,278.0,24.0,False,731.0,1.0,1.0
427922,1996-08-31,"PSC 4848, Box 6204
APO AA 14873",1,50537.5,Self-Employed,223,Married,Bachelor,17,2245206.0,Personal Loan,12147.49,5152.95,2020-06-16,2023-11-01,On Time,174.0,47.0,True,575.0,2.0,0.0
4790771,1955-01-24,"224 Small Summit
Lewisville, NV 63468",4,55546.12,Employed,93,Married,Master,167,2379356.0,Mortgage,17241.55,4091.93,2020-03-11,,30-60 Days Late,193.0,39.0,False,849.0,1.0,0.0
4790771,1955-01-24,"224 Small Summit
Lewisville, NV 63468",4,55546.12,Employed,93,Married,Master,167,7612173.0,Mortgage,14436.58,4091.93,2021-06-07,2021-01-08,30-60 Days Late,216.0,39.0,False,848.0,1.0,0.0
15982487,1962-10-01,"00196 Sullivan Lock
Powersside, MH 03349",1,68558.34,Self-Employed,58,Married,PhD,57,10384335.0,Credit Card,15900.72,3104.68,2022-11-14,2023-04-03,On Time,153.0,9.0,True,838.0,0.0,0.0
15982487,1962-10-01,"00196 Sullivan Lock
Powersside, MH 03349",1,68558.34,Self-Employed,58,Married,PhD,57,3512292.0,Credit Card,13944.93,3104.61,2022-09-06,,30-60 Days Late,148.0,21.0,True,849.0,0.0,0.0
15982487,1962-10-01,"00196 Sullivan Lock
Powersside, MH 03349",1,68558.34,Self-Employed,58,Married,PhD,57,5717316.0,Personal Loan,16163.32,3104.74,2023-08-12,2023-03-19,30-60 Days Late,157.0,44.0,False,849.0,0.0,0.0
15982487,1962-10-01,"00196 Sullivan Lock
Powersside, MH 03349",1,68558.34,Self-Employed,58,Married,PhD,57,6028563.0,Personal Loan,8074.82,3104.6,2021-05-20,2023-01-02,30-60 Days Late,160.0,11.0,True,761.0,0.0,0.0
5635056,1985-01-23,"25616 Bonnie Port
Matthewsview, NC 67999",1,36625.47,Unemployed,62,Single,Master,8,15014411.0,Credit Card,15196.46,5489.09,2019-09-26,2024-04-11,30-60 Days Late,95.0,37.0,False,628.0,2.0,0.0
1726690,1980-09-16,"69557 Williamson Mountains Apt. 624
Jaredmouth, OH 63080",1,45896.98,Employed,208,Married,High School,173,1691989.0,Personal Loan,20506.89,1494.27,2023-03-18,2024-01-09,30-60 Days Late,139.0,58.0,True,621.0,2.0,0.0
1726690,1980-09-16,"69557 Williamson Mountains Apt. 624
Jaredmouth, OH 63080",1,45896.98,Employed,208,Married,High School,173,14737098.0,Personal Loan,24715.4,1494.24,2018-08-12,2022-07-20,30-60 Days Late,144.0,58.0,True,580.0,0.0,0.0
1726690,1980-09-16,"69557 Williamson Mountains Apt. 624
Jaredmouth, OH 63080",1,45896.98,Employed,208,Married,High School,173,15562940.0,Personal Loan,25487.57,1494.23,2018-02-09,2022-10-16,30-60 Days Late,95.0,58.0,True,732.0,2.0,0.0
1726690,1980-09-16,"69557 Williamson Mountains Apt. 624
Jaredmouth, OH 63080",1,45896.98,Employed,208,Married,High School,173,14962693.0,Auto Loan,24044.63,1494.29,2021-03-07,2022-02-06,60-90 Days Late,203.0,8.0,True,410.0,0.0,0.0
5304947,1973-06-13,"5632 Collins Via
New Nathanmouth, WI 38884",2,49199.17,Unemployed,185,Single,Bachelor,99,8134011.0,Personal Loan,6279.1,3296.29,2021-11-16,2025-05-10,On Time,299.0,45.0,False,586.0,2.0,1.0
15211291,1970-01-28,"54025 April Squares Suite 221
Carneychester, UT 44743",0,25009.16,Employed,22,Married,High School,31,8286762.0,Mortgage,9034.16,4474.24,2022-06-09,2023-05-25,On Time,274.0,34.0,False,689.0,2.0,0.0
15211291,1970-01-28,"54025 April Squares Suite 221
Carneychester, UT 44743",0,25009.16,Employed,22,Married,High School,31,15334698.0,Credit Card,13482.16,4474.24,2019-10-26,2023-01-01,30-60 Days Late,114.0,23.0,False,701.0,2.0,0.0
15211291,1970-01-28,"54025 April Squares Suite 221
Carneychester, UT 44743",0,25009.16,Employed,22,Married,High School,31,7442689.0,Credit Card,8840.97,4474.49,2018-05-05,2021-05-28,60-90 Days Late,51.0,19.0,False,762.0,2.0,0.0
15211291,1970-01-28,"54025 April Squares Suite 221
Carneychester, UT 44743",0,25009.16,Employed,22,Married,High School,31,5712843.0,Credit Card,26574.31,4474.23,2023-10-16,2022-10-17,On Time,280.0,40.0,False,524.0,0.0,0.0
7141802,1957-12-26,"542 Leah Orchard Apt. 024
Lake Paigeside, DC 09646",1,31778.04,Self-Employed,147,Divorced,Master,145,7331174.0,Personal Loan,4262.62,2017.95,2017-06-08,2022-11-30,30-60 Days Late,167.0,5.0,False,375.0,1.0,1.0
7141802,1957-12-26,"542 Leah Orchard Apt. 024
Lake Paigeside, DC 09646",1,31778.04,Self-Employed,147,Divorced,Master,145,1352369.0,Personal Loan,2182.79,2017.88,2017-03-19,2024-05-02,30-60 Days Late,167.0,12.0,True,383.0,1.0,1.0
7141802,1957-12-26,"542 Leah Orchard Apt. 024
Lake Paigeside, DC 09646",1,31778.04,Self-Employed,147,Divorced,Master,145,73328.0,Personal Loan,5050.59,2017.87,2017-01-18,2024-03-12,30-60 Days Late,168.0,7.0,True,420.0,2.0,1.0
7141802,1957-12-26,"542 Leah Orchard Apt. 024
Lake Paigeside, DC 09646",1,31778.04,Self-Employed,147,Divorced,Master,145,12423543.0,Credit Card,2061.24,2018.23,2018-06-05,,30-60 Days Late,65.0,19.0,True,300.0,2.0,1.0
7141802,1957-12-26,"542 Leah Orchard Apt. 024
Lake Paigeside, DC 09646",1,31778.04,Self-Employed,147,Divorced,Master,145,11707286.0,Credit Card,2075.17,2017.99,2017-09-21,,30-60 Days Late,101.0,17.0,True,300.0,1.0,1.0
9095788,1978-06-28,"5379 Ramos Loaf Apt. 742
Lake Ethanbury, WA 27975",0,24471.03,Unemployed,26,Single,Master,49,10208124.0,Mortgage,16318.7,5406.71,2021-08-30,,On Time,299.0,40.0,False,849.0,1.0,0.0
11169091,1968-03-16,"446 Pace Inlet Apt. 564
Port Cory, ND 75415",3,70996.29,Self-Employed,117,Divorced,Bachelor,151,6368290.0,Credit Card,23099.55,7507.71,2024-03-30,2025-01-28,On Time,211.0,33.0,False,814.0,1.0,0.0
6709464,1962-01-27,"892 Hayes Streets Suite 998
Wyattland, AL 22983",4,69724.91,Self-Employed,44,Single,High School,13,15691648.0,Personal Loan,7529.37,6705.42,2020-07-23,2022-04-09,30-60 Days Late,239.0,34.0,False,537.0,1.0,0.0
9377474,1994-05-29,"96798 Sanchez Motorway Apt. 134
Guerreroton, MA 48459",3,33021.41,Self-Employed,37,Single,Master,123,15791285.0,Mortgage,7864.07,2278.67,2020-06-06,2024-06-27,30-60 Days Late,168.0,46.0,True,823.0,2.0,1.0
9377474,1994-05-29,"96798 Sanchez Motorway Apt. 134
Guerreroton, MA 48459",3,33021.41,Self-Employed,37,Single,Master,123,6846502.0,Mortgage,9854.3,2278.67,2017-06-16,,30-60 Days Late,154.0,16.0,True,803.0,0.0,1.0
10781952,1999-04-20,"Unit 4149 Box 3677
DPO AE 72216",2,48022.48,Self-Employed,179,Married,Master,128,14401487.0,Mortgage,24097.82,6882.02,2022-09-28,2025-09-16,On Time,69.0,46.0,False,628.0,2.0,0.0
10781952,1999-04-20,"Unit 4149 Box 3677
DPO AE 72216",2,48022.48,Self-Employed,179,Married,Master,128,5519215.0,Personal Loan,17486.26,6882.02,2021-10-05,2025-07-03,30-60 Days Late,93.0,43.0,False,620.0,1.0,0.0
12933910,1959-10-25,"2863 Sherman Squares Suite 736
Monicabury, MP 49908",4,54685.45,Employed,150,Married,Master,74,1244918.0,Auto Loan,12376.02,-135.7,2018-09-20,2022-04-16,60-90 Days Late,211.0,19.0,True,607.0,1.0,0.0
12933910,1959-10-25,"2863 Sherman Squares Suite 736
Monicabury, MP 49908",4,54685.45,Employed,150,Married,Master,74,3904499.0,Credit Card,13153.72,-135.7,2020-09-08,,60-90 Days Late,299.0,20.0,True,508.0,1.0,0.0
12933910,1959-10-25,"2863 Sherman Squares Suite 736
Monicabury, MP 49908",4,54685.45,Employed,150,Married,Master,74,2709044.0,Credit Card,13275.49,-135.7,2018-08-08,,60-90 Days Late,299.0,29.0,False,603.0,2.0,0.0
8761547,1962-11-22,"0545 Roy Parkway Suite 959
Moranside, NC 49996",1,55000.94,Employed,38,Divorced,Bachelor,66,10791734.0,Personal Loan,16830.72,3945.68,2022-09-24,,30-60 Days Late,52.0,16.0,False,663.0,2.0,0.0
8761547,1962-11-22,"0545 Roy Parkway Suite 959
Moranside, NC 49996",1,55000.94,Employed,38,Divorced,Bachelor,66,1052805.0,Credit Card,19477.28,3945.69,2022-08-26,,60-90 Days Late,50.0,17.0,False,533.0,2.0,0.0
956896,1989-02-25,"5578 Smith Ports
Lake Kimberly, WI 89987",4,49734.07,Unemployed,117,Married,Bachelor,73,11265227.0,Auto Loan,16893.46,2616.31,2020-05-12,2024-12-05,On Time,299.0,32.0,True,609.0,1.0,1.0
7552049,1960-06-15,"PSC 9320, Box 3663
APO AP 24242",0,57140.73,Self-Employed,43,Single,PhD,38,4205091.0,Auto Loan,16936.75,7088.36,2022-03-17,2025-02-28,30-60 Days Late,20.0,26.0,False,363.0,1.0,1.0
7552049,1960-06-15,"PSC 9320, Box 3663
APO AP 24242",0,57140.73,Self-Employed,43,Single,PhD,38,14942627.0,Auto Loan,16971.04,7088.33,2019-09-18,,60-90 Days Late,81.0,10.0,False,361.0,2.0,1.0
7552049,1960-06-15,"PSC 9320, Box 3663
APO AP 24242",0,57140.73,Self-Employed,43,Single,PhD,38,7272579.0,Auto Loan,16752.17,7088.35,2019-03-29,2025-02-28,60-90 Days Late,20.0,7.0,False,366.0,1.0,1.0
7552049,1960-06-15,"PSC 9320, Box 3663
APO AP 24242",0,57140.73,Self-Employed,43,Single,PhD,38,7396847.0,Auto Loan,17093.12,7088.27,2022-02-12,2024-03-12,30-60 Days Late,169.0,8.0,True,361.0,2.0,0.0
